name,city_price,semi_city_price,suburb_price,kcal,memo,category_id
天然インド鮪6貫盛り,1170,1110,1080,375,,1
まぐろ,150,130,120,78,,1
匠の漬けまぐろ,150,130,120,81,,1
サーモン,150,130,120,95,,1
オニオンサーモン,150,130,120,124,,1
焼とろサーモン,150,130,120,123,,1
おろし焼とろサーモン,150,130,120,124,,1
ジャンボとろサーモン,150,130,120,97,,1
サーモンちーず,150,130,120,161,,1
炙りサーモンバジルチーズ,150,130,120,167,,1
活〆寒ぶり,150,130,120,111,,1
活〆匠の漬け寒ぶり,150,130,120,112,,1
焼き鯖,150,130,120,151,,1
〆真さば,150,130,120,115,,1
〆真さば(ごまネギ),150,130,120,117,,1
塩〆いわし(ネギ・生姜),150,130,120,130,,1
塩〆いわし,150,130,120,129,,1
赤えび,150,130,120,47,,1
えび,150,130,120,73,,1
えびチーズ,150,130,120,107,,1
えびバジルチーズ,150,130,120,113,,1
えびアボカド,150,130,120,119,,1
タルタルえびアボカド,150,130,120,87,,1
甘えび,150,130,120,68,,1
えび天にぎり,150,130,120,118,,1
上えび天にぎり,210,190,180,178,,1
いか,150,130,120,67,,1
煮あなご,150,130,120,98,,1
たまご,150,130,120,117,,1
牛塩カルビ,150,130,120,152,,1
生ハム,150,130,120,114,,1
特ネタ中とろ,210,190,180,73,,1
びんとろ,210,190,180,85,,1
生サーモン,210,190,180,67,,1
サーモンバジルモッツァレラ,210,190,180,133,,1
活〆ぶりとろ,210,190,180,82,,1
活〆匠の漬けぶりとろ,210,190,180,83,,1
活〆炙りぶりしゃぶ,210,190,180,85,,1
活〆真鯛,210,190,180,93,,1
漬けごま活〆真鯛,210,190,180,106,,1
大えび,210,190,180,45,,1
ほたて貝柱,210,190,180,74,,1
大つぶ貝,210,190,180,66,,1
うなぎの蒲焼き,210,190,180,103,,1
生ハムバジルモッツァレラ,210,190,180,122,,1
紅鮭の塩筋子包み,210,190,180,57,,1
サーモン3貫盛り(ジャンボとろサーモン・焼とろサーモン・サーモン),210,190,180,206,,1
特ネタ大とろ,390,370,360,79,,1
特ネタ大とろ焦がし醤油,390,370,360,80,,1
大切りあわび2貫,390,370,360,66,,1
まぐろ3貫盛り(中とろ・まぐろ・ねぎまぐろ),390,370,360,187,,1
鮮魚3貫盛り,390,370,360,169,,1
軍艦ねぎまぐろ,150,130,120,119,,2
まぐろ山かけ,150,130,120,94,,2
まぐろユッケ(卵黄醤油),150,130,120,102,,2
かにみそ,150,130,120,94,,2
軍艦甘えび,150,130,120,107,,2
とびこ軍艦,150,130,120,79,,2
ししゃもこ軍艦(カラフトししゃも使用),150,130,120,78,,2
たらマヨ,150,130,120,142,,2
たらこ,150,130,120,88,,2
数の子松前漬け,150,130,120,89,,2
コーン,150,130,120,126,,2
ツナサラダ,150,130,120,150,,2
シーサラダ,150,130,120,132,,2
カニ風サラダ,150,130,120,126,,2
いかオクラめかぶ,150,130,120,72,,2
小粒納豆,150,130,120,100,,2
きゅうり巻,150,130,120,130,,2
小粒納豆巻(ねぎ抜き),150,130,120,167,,2
梅きゅう巻,150,130,120,143,,2
海老フライアボカドロール,150,130,120,183,,2
本ずわい蟹軍艦,210,190,180,81,,2
いくら,210,190,180,89,,2
たら白子,210,190,180,83,,2
あん肝,210,190,180,160,,2
コク旨まぐろ醤油ラーメン,410,390,380,329,,3
鯛だし塩ラーメン,410,390,380,234,,3
わかめうどん,360,340,330,199,,3
きつねうどん,360,340,330,332,,3
かけうどん,220,170,160,199,,3
魚のアラの赤だし,230,210,200,110,,3
あさりの赤だし,230,210,200,74,,3
あおさと海苔の赤だし,230,210,200,45,,3
はまぐりの味噌汁,230,210,200,69,,3
あおさと海苔の味噌汁,230,210,200,38,,3
フライドチキン(5個),390,370,360,605,,3
フライドポテト,160,140,130,189,,3
ポテサラ(タルタル),160,140,130,125,,3
だし巻き玉子,160,140,130,95,,3
練乳いちごパフェ,360,340,330,291,,4
北海道ミルクレープメルバ,290,270,260,206,,4
ショコラケーキリッチ,250,230,220,199,,4
北海道ミルクレープ,250,230,220,202,,4
クラシックプリン,200,180,170,191,,4
大学いも,160,140,130,156,,4
京都峯嵐堂のわらびもち,160,140,130,108,,4
フローズンマンゴー,160,140,130,56,,4
懐かしのメロンシャーベット,160,140,130,78,,4
北海道バニラアイス,160,140,130,60,,4
